GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;03152;Göttingen, Landkreis (until 2016-10-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;03153;Goslar, Landkreis;1449;1549;1980;2699;1674;1246;4023;4187;3915;3440;3620;3657;5404;5902;5197;8438;8106;1394;1491;1890;2489;1562;1157;3068;3251;3355;3398;3389;3751;5370;5784;5378;9245;11592
2021-12-31;03154;Helmstedt, Landkreis;1377;1347;1663;2027;1274;847;2267;2277;2809;2836;2828;2670;3588;4056;3663;5353;4422;1278;1346;1595;1915;1210;742;1923;2006;2748;2739;2750;2527;3561;4082;3632;5603;6418
2021-12-31;03155;Northeim, Landkreis;1662;1753;2263;2838;1752;1329;3479;3347;3665;3528;3523;3672;5078;5897;5511;8440;7174;1649;1648;2205;2708;1694;1136;3065;2984;3466;3423;3569;3655;5346;6038;5415;8637;10216
2021-12-31;03156;Osterode am Harz, Landkreis (until 2016-10-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;03157;Peine, Landkreis;2270;2244;2788;3338;2119;1465;3692;3406;4079;4227;4082;4113;5662;6107;4975;7021;6273;2033;2174;2706;3211;2002;1301;3062;3245;4089;4047;4188;4165;5587;5931;4893;7711;8754
2021-12-31;03158;Wolfenbüttel, Landkreis;1678;1658;2105;2626;1684;1192;3248;3075;3387;3423;3292;3356;4956;5557;4630;6824;6322;1531;1623;2001;2479;1578;1066;2703;2730;3208;3257;3450;3540;5015;5414;4699;7328;8589
2021-12-31;03159;Göttingen, Landkreis;4222;4511;5671;7060;4410;3212;10808;11289;10957;9505;8456;8490;11592;12872;11839;18009;16022;3988;4234;5243;6583;4134;3117;10674;10491;10028;9336;8981;9051;11769;13322;12255;19317;22213
2021-12-31;03201;Hannover, kreisfreie Stadt (until 2001-10-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;03241;Region Hannover, Landkreis;17128;17370;22067;27055;15940;11191;34712;40570;40596;37030;35169;33843;42894;45559;37989;54725;53118;16276;16556;20686;25533;15211;10743;33213;37133;38238;36915;36400;34778;42813;45857;39226;62659;78348
2021-12-31;03251;Diepholz, Landkreis;3247;3261;4052;5249;3302;2304;5950;5724;6584;6337;6132;6304;9066;9987;8407;12259;10585;2955;3081;3824;4898;3031;2060;5060;5449;6253;6207;6249;6476;9156;9623;8379;12852;14536
2021-12-31;03252;Hameln-Pyrmont, Landkreis;2122;2134;2688;3353;2060;1498;3849;3897;4133;3988;4003;4070;5618;6446;5642;8653;8003;1956;2032;2642;3207;2016;1401;3506;3617;4052;4014;4145;4165;5889;6535;5995;9566;12068
2021-12-31;03253;Hannover, Landkreis (until 2001-10-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;03254;Hildesheim, Landkreis;3721;3791;4846;6019;3928;2871;7914;8209;8388;7576;7531;7815;10571;11979;10342;15048;13659;3546;3537;4684;5763;3693;2681;8064;7628;7750;7465;7779;7982;10737;11930;10512;16701;20113
2021-12-31;03255;Holzminden, Landkreis;869;931;1171;1487;943;730;1990;1900;2024;1953;1812;1832;2703;3070;2785;4426;4075;852;900;1138;1398;869;674;1612;1649;1787;1701;1835;1855;2751;3040;2809;4637;5654
2021-12-31;03256;Nienburg (Weser), Landkreis;1694;1734;2278;2933;1833;1318;3492;3396;3645;3431;3393;3542;4836;5536;4847;6925;5526;1660;1781;2234;2880;1830;1167;3013;2939;3253;3420;3322;3395;4896;5426;4811;7218;8169
2021-12-31;03257;Schaumburg, Landkreis;2135;2163;2794;3414;2263;1623;4278;4025;4376;4381;4373;4522;6375;7260;6127;9016;8370;1942;2176;2655;3318;2111;1501;3682;3650;4228;4377;4420;4421;6570;7203;6130;9910;12319
