GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;05358;Düren, Landkreis;4086;4182;4990;6423;3877;2749;7928;8290;8622;8111;7683;7519;10122;11390;10079;14723;11417;3898;3921;4770;5761;3603;2439;6693;7268;8157;7836;7737;7636;10391;11509;10394;16192;16375
2021-12-31;05362;Rhein-Erft-Kreis;7189;7712;9643;11351;6892;4806;12658;12867;14202;14134;14357;13913;18144;19873;16570;24031;21699;6852;7254;8934;10960;6379;4362;11513;12126;14278;14851;15282;14695;18809;20293;17283;27825;30154
2021-12-31;05366;Euskirchen, Landkreis;2837;2920;3655;4575;2840;1987;5156;5329;5785;5868;5605;5449;7559;8796;7844;11292;8626;2705;2920;3549;4286;2760;1798;4559;4781;5692;5647;5730;5678;7828;9046;7934;11846;11819
2021-12-31;05370;Heinsberg, Landkreis;3807;3883;4895;6119;3865;2853;7028;7301;8252;7814;7520;7362;10088;11589;10152;14407;10948;3490;3770;4599;5754;3635;2472;6137;6601;7707;7791;7734;7757;10285;11665;10208;15199;15619
2021-12-31;05374;Oberbergischer Kreis;4246;4308;5371;6569;4004;2923;7726;7764;8234;8000;7800;7514;10282;11930;10421;14357;12129;3964;4143;5087;6411;3955;2588;6695;6936;7702;7879;8024;7898;10711;11987;10726;15614;17723
2021-12-31;05378;Rheinisch-Bergischer Kreis;3933;4141;5501;6812;4270;2884;7097;6759;7556;7953;7933;8015;11259;12768;10802;14705;14942;3807;4002;5173;6273;3909;2626;6042;6288;7878;8494;8569;8624;11905;13468;11106;16809;21126
2021-12-31;05382;Rhein-Sieg-Kreis;8836;9386;12157;15221;9356;6332;16447;16119;17532;17786;17423;16977;23233;25888;21981;30917;28501;8214;8743;11243;14112;8568;5744;14304;14934;17217;18039;18823;18045;24226;26831;23204;35162;39231
2021-12-31;05512;Bottrop, kreisfreie Stadt;1677;1702;2148;2600;1605;1105;3147;3363;3755;3538;3585;3340;4477;4905;4460;6610;5052;1613;1589;1949;2507;1470;1060;2789;3075;3708;3581;3413;3449;4563;5106;4790;7544;8036
2021-12-31;05513;Gelsenkirchen, kreisfreie Stadt;4348;4389;5386;6732;4110;2809;7836;8421;9109;8024;7933;7914;9711;10168;9047;12969;10365;4259;4282;4977;6181;3574;2530;7057;7705;8369;7693;7646;7614;9425;9683;9208;14588;16064
2021-12-31;05515;Münster, kreisfreie Stadt;4396;4378;5319;6542;3846;3299;13575;14945;13311;11063;9049;8631;10181;10660;9121;12839;11360;4097;4053;5067;6090;3529;3929;17875;15787;12706;10545;9351;8553;10437;11362;9733;14474;17610
2021-12-31;05554;Borken, Landkreis;6070;6092;7506;9550;6001;4128;11300;11874;12047;11191;10989;11193;15067;16733;13689;18683;14541;5844;5681;7253;9168;5692;3730;9337;10519;11425;11073;10861;11066;14713;16297;13636;19660;20973
2021-12-31;05558;Coesfeld, Landkreis;3416;3458;4389;5265;3328;2390;6153;5951;6489;6497;6327;6399;8718;9910;8634;12469;9417;3163;3436;4050;4922;3164;2136;5105;5384;6137;6508;6375;6511;9007;10228;9088;13155;13773
2021-12-31;05562;Recklinghausen, Landkreis;8912;9298;11507;14002;8761;6011;16373;16771;18246;17551;17435;17749;23817;25935;23393;34760;27895;8466;8794;10774;13208;8149;5511;14630;15710;17731;17647;17995;18314;24443;26329;24954;39604;42126
2021-12-31;05566;Steinfurt, Landkreis;7052;7260;9047;11349;7113;5058;13881;13520;13960;13574;13218;13171;18060;19699;16644;22750;18566;6753;6907;8438;10546;6808;4628;11622;11735;12844;13186;12868;13536;18352;19891;16712;24390;27038
2021-12-31;05570;Warendorf, Landkreis;4244;4265;5534;6914;4530;3081;8066;7659;8258;8364;7919;8307;11064;11999;10284;14662;12275;4007;4056;5221;6462;4215;2934;6791;6812;7740;7969;8345;8393;11055;12004;10605;16305;17837
2021-12-31;05711;Bielefeld, kreisfreie Stadt;5224;5050;6378;8042;4987;3572;11083;11975;12060;10751;9600;9664;11729;12444;10064;14668;13946;4948;5006;6118;7582;4708;3575;12013;12238;11833;10962;10054;10085;11691;12296;10989;17228;21439
2021-12-31;05754;Gütersloh, Landkreis;5724;5822;7313;9245;5821;4144;11119;11165;12025;11578;10977;11162;14686;15733;13132;17643;15384;5413;5511;6926;8709;5420;3732;9415;9647;10706;11004;10896;11614;14384;15564;13143;19047;22300
2021-12-31;05758;Herford, Landkreis;3707;3789;4907;6247;3759;2638;7017;6895;7617;7424;7322;7258;9707;10742;9427;13108;11769;3486;3560;4603;5761;3620;2450;5989;6207;7156;7450;7311;7540;9801;10746;9699;14335;17588
2021-12-31;05762;Höxter, Landkreis;1946;2019;2596;3411;2193;1529;3901;3956;4222;3927;3834;3858;5467;6294;5659;8271;6649;1843;1912;2442;3164;2080;1353;3239;3338;3701;3734;3810;3994;5513;6158;5709;8626;9646
2021-12-31;05766;Lippe, Landkreis;5264;5479;7252;8887;5505;3754;9692;9832;10511;9936;9450;9289;12828;14237;12972;18547;16503;4969;5302;6593;8434;5175;3364;8690;8833;9650;9667;9667;9828;13077;14705;13346;20581;24332
2021-12-31;05770;Minden-Lübbecke, Landkreis;4793;4945;6112;7720;4961;3359;8934;9083;9895;9164;8648;8698;11881;13050;11826;16437;14393;4355;4423;5881;7322;4547;3027;7683;8144;8838;8567;8666;8969;12118;13256;12267;17963;21289
2021-12-31;05774;Paderborn, Landkreis;4845;4890;6162;7597;4707;3560;10916;11697;11468;10436;9250;8830;11175;12215;10789;15090;11338;4524;4556;5989;7170;4446;3212;9771;9890;10104;9573;9223;9124;10962;11929;11063;16168;16711
2021-12-31;05911;Bochum, kreisfreie Stadt;4912;4987;6230;7497;4535;3361;12025;14071;14019;12091;10370;9879;12754;13856;12273;18630;16026;4712;4760;5841;6731;4233;3262;11830;12841;12780;11397;10435;9912;12829;13917;13106;21717;25622
2021-12-31;05913;Dortmund, kreisfreie Stadt;9129;9101;11019;13094;8146;5938;19116;22097;22154;19221;17592;16924;21472;22468;18868;27705;24536;8391;8644;10756;12835;7617;5513;17676;20085;20381;18541;18078;17475;20955;22502;19657;32049;37117
2021-12-31;05914;Hagen, kreisfreie Stadt;3071;3054;3834;4600;2903;2010;5492;5844;6191;5708;5507;5324;6930;7671;6536;9304;8394;2976;2888;3590;4437;2644;1993;5129;5401;5707;5251;5378;5502;7045;7570;6849;10762;13218
2021-12-31;05915;Hamm, kreisfreie Stadt;2606;2678;3528;4593;2812;2010;5679;6073;5849;5370;5574;5525;6685;6877;6038;8835;7602;2392;2740;3378;4236;2593;1879;5124;5153;5446;5301;5488;5520;6619;6944;6308;10498;11285
2021-12-31;05916;Herne, kreisfreie Stadt;2309;2311;3009;3572;2235;1580;4765;5157;5397;4588;4748;4965;5993;6385;5481;7751;6600;2266;2246;2800;3455;2024;1577;4488;4679;4839;4502;4550;4790;5974;6067;5626;9294;10598
2021-12-31;05954;Ennepe-Ruhr-Kreis;4497;4679;5814;6893;4301;2907;8324;8910;9714;9513;8952;8648;12752;14319;12244;17937;16039;4243;4370;5487;6558;4013;2696;7579;8564;9451;9261;9212;9230;13095;14730;12735;20504;23972
2021-12-31;05958;Hochsauerlandkreis;3602;3638;4596;5982;4021;2777;7287;7898;8097;7608;7092;7553;10628;11710;10281;14545;11862;3375;3526;4360;5499;3797;2414;5973;6475;7330;7124;7255;7627;10222;11361;10198;15190;17712
2021-12-31;05962;Märkischer Kreis;6033;6002;7734;9691;6103;4209;11089;11692;12588;11886;11293;11379;15901;18612;15593;21464;18902;5448;5766;7132;9018;5794;3900;9777;10448;11825;11514;11754;11966;16251;18233;15841;24004;27951
2021-12-31;05966;Olpe, Landkreis;1908;1972;2634;3236;2076;1391;3939;3898;4186;3999;3934;3910;5450;6227;5075;7169;5632;1869;1854;2399;2867;1946;1229;3190;3423;3943;3977;3920;3961;5316;5914;5173;7366;8137
2021-12-31;05970;Siegen-Wittgenstein, Landkreis;4047;4175;5133;6392;3855;2775;8373;9393;9229;8257;7952;7652;10220;11522;10167;14734;12448;3888;3916;4842;5874;3592;2584;8026;8112;8300;8137;7832;7493;9959;11277;10204;16311;17671
2021-12-31;05974;Soest, Landkreis;4403;4491;5929;7292;4667;3118;8763;9027;9445;9219;8859;8917;11961;13238;11444;16128;13338;4079;4311;5438;6737;4334;2888;6993;7678;8584;8677;8871;9013;12025;13118;11802;17772;19739
2021-12-31;05978;Unna, Landkreis;5585;5810;7317;9124;5625;3951;10557;10693;11813;11388;11550;11359;15101;16885;14971;21743;18082;5242;5578;6954;8492;5305;3580;9171;9980;11187;11161;11728;11735;15659;17370;15801;25089;27477
2021-12-31;06411;Darmstadt, kreisfreie Stadt;2460;2336;2880;3523;2067;1692;8144;9008;7627;5595;4762;4217;5233;5303;4374;6215;5815;2291;2244;2768;3405;1884;1550;6170;7003;6232;5141;4574;4382;4913;5200;4668;7434;8521
2021-12-31;06412;Frankfurt am Main, kreisfreie Stadt;12576;11984;14519;17243;9987;6739;21879;30431;35018;31376;28109;26110;28738;27026;20182;28220;24388;11644;11687;14025;16713;9385;6423;22446;31777;35511;31567;28752;25352;26119;25159;20306;32614;35219
2021-12-31;06413;Offenbach am Main, kreisfreie Stadt;2371;2187;2712;3243;2008;1393;4058;5039;5658;5051;4469;4295;4766;4766;3758;5015;4433;2215;2184;2601;3160;1818;1268;3907;5112;5620;4859;4534;4126;4423;4377;3651;5890;6328
2021-12-31;06414;Wiesbaden, kreisfreie Stadt;4501;4569;5631;6901;4105;2841;8684;8976;8994;8531;8505;8292;9995;10512;8380;12032;12089;4263;4495;5311;6525;3879;2623;8789;9206;9568;9310;9727;9169;10435;10797;9149;14651;17515
2021-12-31;06431;Bergstraße, Landkreis;4034;3990;5041;6203;3842;2680;7076;7514;8241;8252;8111;7775;10724;12064;10342;15259;12767;3738;3915;4971;5833;3523;2312;6058;6629;7787;8106;8210;8050;10944;12191;10660;16589;17735
2021-12-31;06432;Darmstadt-Dieburg, Landkreis;4298;4565;6026;7221;4374;2981;8320;8464;9190;8843;9299;8974;11759;12985;10754;15914;13341;4165;4455;5615;6938;4057;2793;6934;7554;8659;8933;9560;9116;11856;13038;10979;17292;17648
2021-12-31;06433;Groß-Gerau, Landkreis;4504;4691;5712;6954;4078;2859;8256;8649;9483;9423;9398;8899;10936;11416;8869;12608;11655;4186;4361;5380;6653;3811;2525;7140;7758;9084;9057;9330;8571;10350;10766;8866;14357;15722
2021-12-31;06434;Hochtaunuskreis;3135;3648;5038;6512;3817;2456;5825;5482;5920;6609;7291;7646;9738;10183;7824;11445;12390;3092;3368;4768;6084;3668;2198;4886;5064;5955;7118;8130;8280;10122;10467;8242;13248;17392
2021-12-31;06435;Main-Kinzig-Kreis;6369;6568;8214;10112;6076;4203;11618;12200;13382;12994;13274;12866;16532;17767;15222;22187;19320;6020;6113;7618;9552;5764;3989;10207;10951;13048;12777;13458;13236;16655;17907;15487;25324;26455
2021-12-31;06436;Main-Taunus-Kreis;3638;3822;5053;6373;3877;2504;6093;5992;7002;7287;7847;7789;9780;9974;7741;10828;11636;3368;3588;4775;5931;3520;2200;5081;5677;6959;7862;8332;7996;10019;9984;8082;12871;15795
2021-12-31;06437;Odenwaldkreis;1320;1424;1744;2114;1350;954;2563;2615;2995;2747;2674;2861;3606;4288;3831;6027;4798;1242;1248;1629;2096;1322;894;2228;2347;2682;2693;2857;2841;3847;4240;3859;6433;6584
2021-12-31;06438;Offenbach, Landkreis;5568;5779;7268;8888;5367;3660;9829;10160;11315;11356;11571;11187;13617;14536;11919;17396;16663;5258;5483;6730;8244;5033;3164;8558;9593;11112;11533;11975;11246;13668;14648;12142;20132;22868
2021-12-31;06439;Rheingau-Taunus-Kreis;2361;2706;3450;4467;2826;1911;4870;4790;5111;5388;5362;5596;7671;8410;7017;10295;9688;2363;2497;3274;4155;2567;1702;4317;4277;4846;5408;5831;5925;7793;8506;7318;11646;12885
2021-12-31;06440;Wetteraukreis;4511;4700;6058;7620;4553;3150;8596;8871;9779;9622;9706;9869;12359;13380;11028;16486;13904;4292;4500;5718;7094;4368;2823;7222;7831;9262;9724;10246;9849;12448;13525;11378;17620;19569
2021-12-31;06531;Gießen, Landkreis;4046;4114;4837;5961;3673;2804;10398;11723;10572;8744;7898;7147;9125;10206;9119;13426;10899;3819;3825;4692;5697;3398;2840;11470;10628;9465;8026;7743;7388;9365;10354;9491;14865;15116
2021-12-31;06532;Lahn-Dill-Kreis;3609;3742;4766;6080;3778;2559;6964;7253;8077;7551;7425;7265;9715;10954;9563;13979;11607;3440;3618;4444;5659;3469;2384;6110;6710;7408;7347;7482;7635;9887;10952;9710;15389;16833
2021-12-31;06533;Limburg-Weilburg, Landkreis;2360;2521;3164;4061;2644;1841;4925;5043;5406;5290;5112;5060;6684;7659;6601;9764;7651;2314;2402;3021;3885;2405;1692;4187;4490;5073;5023;5140;5071;6897;7515;6702;10423;10733
2021-12-31;06534;Marburg-Biedenkopf, Landkreis;3334;3348;4469;5612;3476;2768;9280;9177;8746;7525;7206;6781;8651;9667;8606;12343;9955;3038;3312;4208;5332;3342;2858;10347;8623;7929;7217;7025;6985;8722;9695;8744;13479;14297
2021-12-31;06535;Vogelsbergkreis;1375;1383;1754;2320;1478;984;2768;2789;3030;3040;2962;3136;4033;4859;4607;7028;5198;1233;1316;1733;2180;1395;938;2301;2247;2742;2736;3025;3123;4025;4728;4732;7044;7429
2021-12-31;06611;Kassel, kreisfreie Stadt;3158;3015;3718;4495;2673;1943;7449;8897;8787;7057;5593;5355;6454;7094;6023;8853;8075;2925;2879;3432;4074;2499;1943;7551;8156;7237;5871;5787;5579;6834;7455;6508;10541;12496
2021-12-31;06631;Fulda, Landkreis;3297;3398;4235;5225;3358;2391;6849;7463;7385;6930;6547;6375;8492;9430;7945;11724;10137;3074;3148;4117;4902;3281;2159;6338;6390;6790;6498;6397;6631;8408;9282;8127;12478;14371
2021-12-31;06632;Hersfeld-Rotenburg, Landkreis;1654;1781;2186;2794;1771;1124;3315;3371;3762;3500;3526;3507;4705;5157;4705;7171;6213;1590;1568;2062;2579;1682;1044;2625;2898;3354;3245;3256;3424;4642;5003;4735;7770;8444
2021-12-31;06633;Kassel, Landkreis;3274;3385;4403;5305;3169;2215;5873;5952;6833;6772;6463;6873;9429;10388;9093;14217;12808;3089;3204;3920;5042;3138;2056;5032;5433;6587;6645;6827;7018;9607;10555;9439;15686;17538
2021-12-31;06634;Schwalm-Eder-Kreis;2427;2459;3223;4101;2576;1757;4868;5040;5622;5381;5335;5397;7272;8035;7243;10930;8590;2129;2346;3184;3843;2348;1587;3968;4229;4988;5015;5050;5370;7069;7940;7204;11383;12143
2021-12-31;06635;Waldeck-Frankenberg, Landkreis;2033;2221;2871;3635;2331;1623;4418;4562;4805;4525;4320;4452;6099;7063;6230;9279;7571;1983;2070;2713;3484;2087;1498;3535;3760;4150;4177;4391;4563;6210;6977;6308;9771;10798
2021-12-31;06636;Werra-Meißner-Kreis;1309;1385;1669;2106;1336;951;2797;2823;2909;2753;2661;2678;3839;4348;4135;6355;5325;1128;1187;1588;2014;1289;838;2240;2360;2722;2673;2582;2783;3999;4380;4176;6810;7566
2021-12-31;07111;Koblenz, kreisfreie Stadt;1611;1524;1939;2298;1386;1027;3910;5215;4863;3953;3336;2913;3696;3964;3416;5416;5226;1544;1489;1824;2201;1226;1016;4282;4529;4235;3563;3202;2972;3677;4038;3680;6439;8028
2021-12-31;07131;Ahrweiler, Landkreis;1820;1846;2288;2789;1641;1190;3386;3550;3792;3731;3531;3318;4874;5830;5184;7702;6826;1739;1724;2201;2609;1603;1070;2845;3166;3582;3538;3621;3532;5029;5871;5189;8038;9491
2021-12-31;07132;Altenkirchen (Westerwald), Landkreis;1875;1953;2473;3018;1834;1263;3486;3748;4120;3696;3623;3608;5109;5816;5203;7353;5888;1853;1841;2310;2841;1778;1171;3024;3310;3811;3657;3660;3687;4907;5807;5081;7921;8536
2021-12-31;07133;Bad Kreuznach, Landkreis;2223;2365;2904;3746;2258;1526;4085;4172;4857;4581;4493;4350;6022;6835;6207;9594;7643;2155;2294;2805;3564;2051;1521;3664;3954;4556;4603;4657;4721;6165;7079;6526;10475;10751
2021-12-31;07134;Birkenfeld, Landkreis;1168;1233;1412;1802;1080;789;2252;2236;2554;2389;2214;2198;2898;3437;3386;5177;3888;1137;1127;1369;1676;1038;693;1860;2010;2243;2190;2121;2224;2974;3525;3446;5526;5577
2021-12-31;07135;Cochem-Zell, Landkreis;791;823;1053;1335;880;578;1714;1685;1860;1722;1605;1662;2395;3022;2591;4031;3247;731;777;966;1257;758;570;1337;1475;1629;1554;1639;1767;2464;2842;2569;3985;4421
2021-12-31;07137;Mayen-Koblenz, Landkreis;3084;3262;4075;4825;3011;2108;5711;6243;6993;6596;6449;6060;8246;9414;8317;12372;9758;2895;3153;3828;4723;2813;1978;5152;5571;6367;6477;6504;6205;8260;9467;8479;13442;13608
2021-12-31;07138;Neuwied, Landkreis;2874;2891;3612;4323;2684;1882;4955;5175;5808;5336;5215;5017;6915;8070;7195;10440;8510;2690;2711;3254;4209;2585;1831;4388;4772;5429;5286;5322;5271;7101;8127;7273;11195;12044
2021-12-31;07140;Rhein-Hunsrück-Kreis;1478;1526;1923;2388;1458;999;2674;2819;3112;3169;2971;2962;3938;4666;4205;6541;4780;1380;1395;1841;2136;1448;959;2221;2478;2912;3017;2986;2953;4085;4675;4350;6580;6742
2021-12-31;07141;Rhein-Lahn-Kreis;1662;1743;2245;2791;1681;1149;3055;3294;3671;3741;3600;3575;4641;5563;5005;7355;5974;1586;1748;2177;2648;1599;1072;2657;2928;3501;3523;3613;3477;4801;5510;5053;7984;8102
2021-12-31;07143;Westerwaldkreis;2969;3151;3875;4802;3047;2083;5165;5696;6474;6259;6038;5991;8072;9449;7897;11366;8782;2827;2919;3709;4561;2826;1940;4633;5163;6260;6003;6130;5992;8253;9081;7917;11979;12522
2021-12-31;07211;Trier, kreisfreie Stadt;1395;1490;1900;2266;1399;1089;4715;5403;5044;4073;3505;3069;3601;3883;3288;4729;3813;1389;1322;1735;1999;1177;1139;5143;4923;4492;3805;3210;2970;3461;3919;3427;5492;6305
2021-12-31;07231;Bernkastel-Wittlich, Landkreis;1635;1669;2097;2535;1637;1055;2908;3098;3542;3347;3382;3338;4377;5138;4537;7031;5349;1574;1537;1977;2439;1494;1060;2526;2755;3141;3156;3287;3255;4204;5042;4516;7119;7437
2021-12-31;07232;Eifelkreis Bitburg-Prüm;1470;1614;1997;2449;1477;1001;2763;3094;3424;3153;3041;2930;3879;4671;4024;5835;4127;1377;1482;1799;2183;1363;886;2305;2877;3098;3048;2863;2932;3861;4424;3855;5870;5787
2021-12-31;07233;Vulkaneifel, Landkreis;744;815;1059;1295;853;562;1586;1682;1906;1726;1655;1694;2214;2811;2682;4059;3152;718;763;1028;1207;787;551;1383;1472;1622;1607;1653;1687;2301;2864;2562;4008;4174
2021-12-31;07235;Trier-Saarburg, Landkreis;2085;2200;2932;3768;2237;1454;3832;4035;4557;4715;4892;4542;6109;6813;5907;8607;6253;1973;2107;2803;3659;2091;1344;3103;3726;4549;4775;4953;4638;6040;6664;5905;8902;8997
2021-12-31;07311;Frankenthal (Pfalz), kreisfreie Stadt;765;797;947;1185;687;464;1412;1499;1667;1518;1576;1423;1712;1839;1687;2318;2382;683;771;899;1051;649;435;1135;1380;1589;1517;1488;1349;1743;1847;1817;2865;3677
2021-12-31;07312;Kaiserslautern, kreisfreie Stadt;1524;1418;1650;2012;1202;957;4244;5608;4383;3216;2621;2400;3161;3634;3269;4690;4093;1447;1410;1521;1889;1110;922;3406;3934;3197;2844;2602;2602;3289;3582;3544;5643;6268
2021-12-31;07313;Landau in der Pfalz, kreisfreie Stadt;634;677;784;977;554;417;1626;1962;1730;1450;1258;1289;1616;1792;1592;2177;1844;635;631;730;969;601;477;2392;1985;1594;1367;1239;1276;1694;1893;1659;2533;2865
2021-12-31;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2926;2977;3661;4522;2626;1860;5313;6217;6663;6068;5576;5425;6316;6678;5400;7212;6938;2740;2861;3517;4126;2410;1613;4968;5459;5974;5479;5444;5240;5901;6205;5351;8587;9892
2021-12-31;07315;Mainz, kreisfreie Stadt;3035;2974;3657;4578;2659;2021;8504;10523;10050;8436;6759;6000;7120;6956;5791;8583;8368;3044;2828;3445;4014;2309;2046;10271;10778;9634;7914;6716;6030;6932;7069;6353;10182;11977
2021-12-31;07316;Neustadt an der Weinstraße, kreisfreie Stadt;778;811;952;1159;759;501;1327;1452;1815;1592;1433;1340;1940;2286;2150;3047;2793;715;794;930;1126;664;484;1228;1363;1609;1509;1457;1403;2036;2292;2244;3385;4117
2021-12-31;07317;Pirmasens, kreisfreie Stadt;524;544;727;915;534;365;1183;1260;1292;1110;1069;1046;1387;1649;1574;2434;2015;517;502;659;837;444;385;1035;1091;1149;1026;1062;1026;1411;1727;1606;2660;3289
2021-12-31;07318;Speyer, kreisfreie Stadt;671;740;884;1166;721;522;1415;1503;1697;1462;1481;1403;1890;2095;1877;2691;2301;666;656;852;1080;641;500;1196;1427;1496;1449;1514;1547;1991;2128;2022;3262;3619
2021-12-31;07319;Worms, kreisfreie Stadt;1310;1329;1660;2064;1200;887;2736;3025;2984;2610;2576;2481;3028;3280;2869;4169;3386;1197;1320;1625;1877;1178;810;2432;2575;2569;2488;2558;2520;2866;3117;3070;4891;5163
2021-12-31;07320;Zweibrücken, kreisfreie Stadt;462;468;584;741;457;327;990;1166;1288;1116;1023;909;1175;1314;1301;1913;1654;391;440;608;722;433;293;862;987;1020;968;986;929;1148;1353;1421;2201;2441
2021-12-31;07331;Alzey-Worms, Landkreis;1968;2057;2561;3138;1852;1407;3462;3450;4100;4212;4038;3906;5120;5733;5323;7747;5150;1963;2051;2562;2845;1787;1237;3068;3059;3964;3990;4079;3981;5184;5888;5367;8043;7038
2021-12-31;07332;Bad Dürkheim, Landkreis;1787;1883;2396;2952;1795;1187;3122;3201;3706;3689;3716;3581;5326;6255;5499;8198;6829;1739;1818;2212;2722;1697;1193;2589;3024;3642;3728;3966;3839;5538;6192;5896;8924;9365
2021-12-31;07333;Donnersbergkreis;1025;1126;1407;1749;1110;818;1959;1905;2241;2152;2188;2160;2898;3498;3177;4775;3230;1026;1068;1310;1710;1125;697;1664;1738;2180;2169;2250;2209;2971;3471;3199;4825;4539
2021-12-31;07334;Germersheim, Landkreis;1969;2048;2541;3115;1851;1305;3515;3638;4237;4213;4072;3874;5070;5618;5049;6961;5251;1861;1921;2456;2829;1709;1176;3214;3415;3996;4039;4017;3986;5017;5521;4992;7440;7397
2021-12-31;07335;Kaiserslautern, Landkreis;1918;1915;2114;2564;1588;1052;2719;2591;3092;3175;3038;2903;3943;4553;4299;6423;4650;1832;1822;1998;2439;1442;961;2315;2561;3156;3298;3219;3039;3975;4689;4388;6606;6576
2021-12-31;07336;Kusel, Landkreis;1012;1042;1261;1499;902;643;1776;1841;1933;1992;1848;1862;2607;3246;3127;4830;3293;942;945;1188;1393;892;581;1462;1632;1989;1885;1906;1915;2668;3141;3129;4895;4672
2021-12-31;07337;Südliche Weinstraße, Landkreis;1486;1655;2026;2513;1555;1053;2633;2754;3111;3266;3181;3094;4368;5270;4572;6988;5313;1405;1493;1986;2313;1395;928;2299;2595;3124;3318;3180;3326;4563;5196;4752;7330;7238
2021-12-31;07338;Rhein-Pfalz-Kreis;2360;2656;3188;3614;2046;1385;3687;3728;4695;4724;4832;4405;5804;6871;6081;8647;7695;2196;2354;2954;3359;1999;1312;3172;3547;4499;4766;4924;4490;6074;6941;6208;9500;10337
2021-12-31;07339;Mainz-Bingen, Landkreis;3086;3307;4334;5270;3208;2163;5376;5291;5926;6320;6683;6475;8651;9488;8038;11795;9426;2878;3039;4055;4958;2933;2010;4669;4741;5981;6573;6843;6751;8875;9612;8473;12582;12610
2021-12-31;07340;Südwestpfalz, Landkreis;1188;1224;1566;1874;1216;870;2186;2306;2729;2621;2549;2497;3735;4461;4234;6405;5092;1152;1141;1553;1845;1103;719;1845;2176;2599;2544;2587;2621;3738;4630;4268;6585;6960
2021-12-31;08111;Stuttgart, kreisfreie Stadt;9236;8750;10547;13260;8068;5713;20545;27391;29833;25383;22114;20259;22337;22065;17530;24144;25711;8824;8113;10011;12720;7536;5416;19533;25800;27498;23440;21233;19498;21095;20686;17236;27907;36843
2021-12-31;08115;Böblingen, Landkreis;6518;6464;8080;9651;5993;3994;10838;11765;13941;13261;12751;12255;15167;15677;13006;17913;18239;6207;6274;7745;9171;5462;3620;9301;11045;13087;12937;12894;12116;14662;15273;13198;20417;24273
2021-12-31;08116;Esslingen, Landkreis;8255;8051;9985;12637;7932;5321;15641;17646;18918;17555;17029;16880;20798;22263;17906;24519;25012;7852;7595;9641;11859;7375;4870;13342;15343;17038;16615;16673;16723;20361;21504;17959;28223;34067
2021-12-31;08117;Göppingen, Landkreis;3877;4069;4941;6037;3862;2578;7574;7981;8541;8155;8003;7760;9922;10983;9234;13146;12253;3696;3901;4750;5871;3696;2377;6319;7000;7750;7808;7736;7825;9836;10430;9342;14641;17152
2021-12-31;08118;Ludwigsburg, Landkreis;8753;8827;10921;13258;7928;5519;14930;16905;19353;18194;18038;17180;21223;22287;17872;24900;23969;8280;8395;10406;12648;7564;4962;13202;15695;18311;17534;17793;17157;20804;21276;18432;28504;33659
2021-12-31;08119;Rems-Murr-Kreis;6496;6731;8180;10151;6464;4429;11818;12980;13856;13225;12848;12965;16707;18312;15070;20822;20131;6306;6240;7985;9582;6090;3976;10620;11659;13113;13056;13114;13108;16708;17983;15158;23541;27892
2021-12-31;08121;Heilbronn, kreisfreie Stadt;1948;2066;2540;3093;1890;1361;4308;4914;5257;4499;4207;3910;4424;4544;3777;5263;5137;1933;1944;2294;2919;1775;1312;3727;4354;4084;3855;3959;3862;4164;4250;3958;6323;7762
2021-12-31;08125;Heilbronn, Landkreis;5721;5746;7018;8228;5184;3505;9998;10581;12125;11544;11438;11084;13674;14800;12622;17084;14162;5472;5238;6536;8100;4815;3336;8560;9475;11103;11061;10816;10795;13243;14402;12192;18738;19402
2021-12-31;08126;Hohenlohekreis;1792;1775;2067;2848;1711;1182;3474;3640;3981;3843;3535;3438;4385;4863;4258;5855;4537;1756;1695;2034;2574;1620;1107;2825;3103;3639;3327;3348;3343;4311;4620;4207;6206;6419
2021-12-31;08127;Schwäbisch Hall, Landkreis;3194;3289;4036;4769;3095;2172;5931;6450;7071;6985;6269;6033;7560;8288;7307;10318;7439;3064;3070;3845;4656;2911;1944;4944;5646;6350;6231;5969;5862;7323;8009;7273;11235;10860
